iter	Passed	Remaining
132	1962	12795
133	1976	12771
134	1989	12747
135	2006	12746
136	2023	12744
137	2036	12722
138	2058	12750
139	2071	12727
140	2086	12708
141	2099	12686
142	2114	12675
143	2128	12650
144	2142	12630
145	2157	12617
146	2173	12612
147	2186	12589
148	2202	12581
149	2217	12568
150	2236	12574
151	2254	12578
152	2267	12551
153	2280	12527
154	2294	12510
155	2310	12500
156	2325	12487
157	2339	12466
158	2356	12466
159	2369	12440
160	2383	12419
161	2396	12395
162	2411	12382
163	2425	12363
164	2445	12376
165	2458	12350
166	2474	12344
167	2488	12324
168	2502	12304
169	2516	12286
170	2529	12265
171	2547	12262
172	2563	12255
173	2577	12237
174	2592	12223
175	2606	12202
176	2620	12183
177	2632	12158
178	2647	12143
179	2663	12132
180	2678	12117
181	2691	12095
182	2704	12074
183	2717	12052
184	2731	12033
185	2745	12015
186	2761	12004
187	2775	11989
188	2791	11978
189	2806	11963
190	2821	11951
191	2835	11933
192	2849	11913
193	2865	11906
194	2878	11881
195	2897	11886
196	2913	11874
197	2926	11854
198	2940	11836
199	2954	11819
200	2970	11808
201	2983	11785
202	2998	11770
203	3015	11765
204	3030	11751
205	3044	11734
206	3057	11712
207	3072	11698
208	3086	11682
209	3099	11660
210	3114	11646
211	3128	11627
212	3142	11609
213	3157	11596
214	3170	11575
215	3187	11570
216	3201	11552
217	3215	11533
218	3234	11534
219	3250	11523
220	3264	11508
221	3281	11500
222	3294	11480
223	3310	11467
224	3325	11456
225	3340	11441
226	3352	11416
227	3366	11397
228	3380	11382
229	3395	11368
230	3412	11358
231	3428	11349
232	3442	11330
233	3455	11311
234	3469	11295
235	3484	11280
236	3499	11267
237	3518	11264
238	3531	11243
239	3544	11225
240	3558	11208
241	3574	11194
242	3587	11174
243	3599	11152
244	3613	11136
245	3628	11120
246	3643	11108
247	3659	11097
248	3672	11076
249	3687	11061
250	3703	11051
251	3718	11038
252	3733	11024
253	3749	11011
254	3766	11005
255	3780	10987
256	3793	10966
257	3808	10952
258	3824	10941
259	3837	10922
260	3850	10902
261	3865	10887
262	3879	10871
263	3892	10850
264	3909	10842
265	3926	10834
266	3943	10824
267	3955	10804
268	3967	10782
269	3981	10763
270	3998	10756
271	4017	10753
272	4031	10735
273	4046	10722
274	4063	10713
275	4077	10695
276	4090	10677
277	4103	10657
278	4117	10639
279	4134	10630
280	4150	10619
281	4166	10608
282	4179	10589
283	4192	10571
284	4208	10557
285	4223	10544
286	4239	10533
287	4254	10517
288	4268	10501
289	4282	10484
290	4295	10466
291	4311	10454
292	4329	10447
293	4342	10429
294	4358	10415
295	4371	10397
296	4385	10379
297	4399	10363
298	4414	10350
299	4432	10341
300	4450	10334
301	4464	10319
302	4481	10308
303	4498	10298
304	4511	10279
305	4525	10263
306	4540	10249
307	4559	10243
308	4577	10236
309	4590	10217
310	4608	10209
311	4622	10192
312	4635	10174
313	4652	10163
314	4667	10149
315	4684	10139
316	4700	10128
317	4714	10111
318	4729	10096
319	4742	10077
320	4756	10061
321	4768	10041
322	4787	10034
323	4805	10026
324	4821	10014
325	4836	9998
326	4854	9991
327	4870	9978
328	4889	9972
329	4902	9954
330	4919	9944
331	4933	9926
332	4953	9921
333	4969	9909
334	4983	9892
335	4996	9873
336	5010	9858
337	5025	9842
338	5041	9830
339	5054	9812
340	5070	9798
341	5082	9778
342	5094	9758
343	5108	9741
344	5123	9726
345	5140	9717
346	5156	9702
347	5173	9692
348	5188	9678
349	5204	9666
350	5220	9653
351	5235	9638
352	5248	9619
353	5263	9604
354	5281	9595
355	5293	9576
356	5311	9567
357	5324	9548
358	5340	9535
359	5353	9516
360	5365	9498
361	5381	9484
362	5397	9472
363	5417	9466
364	5433	9452
365	5448	9438
366	5466	9429
367	5484	9418
368	5499	9403
369	5513	9388
370	5526	9369
371	5539	9351
372	5554	9336
373	5568	9319
374	5585	9309
375	5597	9289
376	5610	9272
377	5625	9256
378	5642	9244
379	5658	9232
380	5672	9215
381	5686	9199
382	5699	9182
383	5713	9165
384	5727	9148
385	5741	9132
386	5757	9120
387	5776	9111
388	5790	9095
389	5805	9081
390	5817	9061
391	5835	9050
392	5848	9033
393	5861	9015
394	5878	9003
395	5890	8984
396	5905	8970
397	5918	8952
398	5933	8936
399	5946	8919
400	5959	8902
401	5974	8888
402	5988	8870
403	6002	8854
404	6018	8842
405	6034	8828
406	6049	8814
407	6062	8797
408	6079	8784
409	6091	8765
410	6104	8747
411	6120	8735
412	6135	8719
413	6151	8707
414	6165	8690
415	6181	8678
416	6197	8664
417	6212	8649
418	6225	8632
419	6240	8617
420	6260	8610
421	6273	8592
422	6286	8574
423	6301	8560
424	6316	8546
425	6330	8529
426	6345	8515
427	6358	8498
428	6373	8483
429	6387	8466
430	6401	8451
431	6413	8432
432	6425	8414
433	6439	8398
434	6454	8383
435	6468	8368
436	6484	8353
437	6499	8340
438	6514	8324
439	6527	8307
440	6543	8294
441	6556	8277
442	6572	8263
443	6585	8247
444	6598	8229
445	6613	8215
446	6628	8200
447	6644	8186
448	6656	8168
449	6668	8150
450	6684	8136
451	6700	8123
452	6719	8113
453	6735	8100
454	6749	8084
455	6766	8071
456	6781	8057
457	6794	8040
458	6810	8026
459	6824	8010
460	6840	7997
461	6853	7981
462	6870	7968
463	6885	7954
464	6900	7939
465	6915	7924
466	6928	7907
467	6944	7893
468	6962	7882
469	6975	7865
470	6990	7851
471	7005	7837
472	7021	7823
473	7035	7807
474	7048	7789
475	7062	7774
476	7075	7758
477	7089	7742
478	7103	7726
479	7120	7713
480	7131	7695
481	7147	7681
482	7160	7664
483	7174	7649
484	7187	7631
485	7202	7617
486	7217	7602
487	7231	7586
488	7245	7571
489	7258	7554
490	7272	7538
491	7286	7523
492	7299	7506
493	7316	7494
494	7330	7478
495	7346	7464
496	7362	7451
497	7378	7437
498	7391	7421
499	7405	7405
500	7420	7390
501	7438	7378
502	7454	7365
503	7475	7357
504	7488	7340
505	7502	7324
506	7516	7308
507	7530	7292
508	7546	7279
509	7564	7267
510	7580	7253
511	7593	7237
512	7611	7225
513	7626	7211
514	7641	7196
515	7658	7183
516	7675	7170
517	7691	7157
518	7707	7143
519	7723	7129
520	7737	7113
521	7750	7096
522	7766	7083
523	7782	7069
524	7796	7053
525	7810	7038
526	7824	7022
527	7839	7008
528	7853	6992
529	7871	6980
530	7887	6966
531	7905	6954
532	7920	6939
533	7935	6925
534	7948	6908
535	7965	6895
536	7978	6878
537	7991	6862
538	8007	6849
539	8021	6833
540	8035	6817
541	8050	6803
542	8065	6788
543	8078	6771
544	8097	6760
545	8109	6743
546	8123	6727
547	8140	6714
548	8155	6699
549	8171	6685
550	8185	6669
551	8200	6655
552	8213	6639
553	8225	6622
554	8239	6606
555	8254	6592
556	8271	6578
557	8287	6564
558	8300	6547
559	8315	6533
560	8329	6517
561	8342	6501
562	8357	6487
563	8372	6472
564	8386	6457
565	8402	6442
566	8417	6428
567	8433	6413
568	8446	6398
569	8465	6386
570	8477	6369
571	8496	6357
572	8509	6341
573	8527	6328
574	8542	6314
575	8554	6297
576	8570	6282
577	8585	6267
578	8601	6254
579	8618	6240
580	8634	6226
581	8650	6212
582	8663	6197
583	8677	6180
584	8693	6167
585	8709	6152
586	8725	6138
587	8738	6123
588	8754	6108
589	8768	6093
590	8788	6081
591	8805	6068
592	8819	6052
593	8832	6037
594	8848	6022
595	8860	6006
596	8875	5991
597	8892	5977
598	8908	5963
599	8922	5948
600	8940	5935
601	8948	5916
602	8965	5902
603	8981	5888
604	8995	5873
605	9012	5859
606	9026	5844
607	9043	5830
608	9060	5817
609	9078	5804
610	9092	5788
611	9106	5773
612	9123	5760
613	9136	5744
614	9152	5729
615	9165	5713
616	9181	5699
617	9196	5684
618	9210	5669
619	9222	5652
620	9236	5637
621	9249	5621
622	9265	5606
623	9282	5593
624	9295	5577
625	9308	5561
626	9327	5548
627	9344	5535
628	9359	5520
629	9371	5503
630	9387	5489
631	9400	5473
632	9416	5459
633	9432	5445
634	9445	5429
635	9457	5412
636	9472	5397
637	9490	5384
638	9503	5369
639	9516	5353
640	9533	5339
641	9551	5326
642	9568	5312
643	9581	5296
644	9597	5282
645	9617	5270
646	9632	5255
647	9649	5241
648	9662	5225
649	9677	5210
650	9689	5194
651	9703	5179
652	9718	5164
653	9732	5149
654	9748	5134
655	9761	5118
656	9776	5104
657	9791	5089
658	9806	5074
659	9820	5059
660	9836	5044
661	9851	5029
662	9864	5013
663	9879	4999
664	9895	4984
665	9910	4969
666	9924	4954
667	9937	4939
668	9952	4923
669	9965	4908
670	9978	4892
671	9991	4876
672	10004	4860
673	10018	4845
674	10034	4831
675	10050	4817
676	10063	4801
677	10072	4783
678	10085	4768
679	10101	4753
680	10113	4737
681	10125	4721
682	10141	4706
683	10154	4691
684	10168	4676
685	10181	4660
686	10193	4644
687	10210	4630
688	10226	4616
689	10242	4601
690	10256	4586
691	10268	4570
692	10280	4554
693	10295	4539
694	10308	4523
695	10322	4508
696	10330	4490
697	10347	4476
698	10354	4459
699	10369	4444
700	10383	4429
701	10400	4415
702	10414	4399
703	10430	4385
704	10445	4370
705	10462	4356
706	10475	4341
707	10488	4325
708	10502	4310
709	10517	4295
710	10532	4280
711	10544	4265
712	10560	4250
713	10576	4236
714	10590	4221
715	10606	4206
716	10621	4192
717	10637	4177
718	10653	4163
719	10667	4148
720	10680	4133
721	10696	4118
722	10710	4103
723	10725	4088
724	10738	4073
725	10752	4057
726	10765	4042
727	10783	4029
728	10797	4014
729	10811	3998
730	10828	3984
731	10842	3969
732	10857	3955
733	10871	3939
734	10886	3925
735	10900	3910
736	10914	3894
737	10929	3880
738	10943	3865
739	10956	3849
740	10971	3834
741	10987	3820
742	11006	3807
743	11020	3791
744	11036	3777
745	11051	3762
746	11063	3747
747	11078	3732
748	11093	3717
749	11106	3702
750	11121	3687
751	11136	3672
752	11150	3657
753	11168	3643
754	11183	3628
755	11196	3613
756	11213	3599
757	11228	3584
758	11244	3570
759	11256	3554
760	11265	3538
761	11273	3521
762	11289	3506
763	11304	3492
764	11317	3476
765	11330	3461
766	11343	3446
767	11356	3430
768	11374	3416
769	11389	3401
770	11405	3387
771	11421	3373
772	11435	3358
773	11448	3342
774	11466	3329
775	11481	3314
776	11498	3300
777	11514	3285
778	11532	3271
779	11549	3257
780	11562	3242
781	11580	3228
782	11589	3211
783	11602	3196
784	11617	3181
785	11630	3166
786	11639	3150
787	11656	3135
788	11672	3121
789	11686	3106
790	11701	3091
791	11716	3076
792	11725	3060
793	11741	3046
794	11758	3032
795	11773	3017
796	11787	3002
797	11800	2987
798	11813	2971
799	11827	2956
800	11841	2941
801	11855	2926
802	11872	2912
803	11887	2897
804	11900	2882
805	11914	2867
806	11927	2852
807	11935	2836
808	11950	2821
809	11959	2805
810	11976	2791
811	11992	2776
812	12008	2762
813	12025	2747
814	12033	2731
815	12047	2716
816	12059	2701
817	12067	2685
818	12082	2670
819	12098	2655
820	12113	2641
821	12128	2626
822	12143	2611
823	12160	2597
824	12175	2582
825	12191	2568
826	12199	2552
827	12215	2537
828	12229	2522
829	12246	2508
830	12262	2493
831	12276	2478
832	12291	2464
833	12304	2449
834	12319	2434
835	12334	2419
836	12347	2404
837	12360	2389
838	12379	2375
839	12387	2359
840	12397	2343
841	12414	2329
842	12428	2314
843	12445	2300
844	12460	2285
845	12468	2269
846	12484	2255
847	12492	2239
848	12501	2223
849	12510	2207
850	12524	2192
851	12540	2178
852	12552	2163
853	12567	2148
854	12579	2133
855	12594	2118
856	12606	2103
857	12621	2088
858	12634	2073
859	12650	2059
860	12664	2044
861	12681	2030
862	12698	2015
863	12714	2001
864	12726	1986
865	12741	1971
866	12756	1956
867	12770	1942
868	12783	1927
869	12799	1912
870	12813	1897
871	12825	1882
872	12838	1867
873	12852	1852
874	12866	1838
875	12878	1823
876	12895	1808
877	12909	1793
878	12924	1779
879	12932	1763
880	12950	1749
881	12961	1734
882	12973	1719
883	12987	1704
884	13003	1689
885	13016	1674
886	13029	1659
887	13043	1645
888	13057	1630
889	13070	1615
890	13084	1600
891	13099	1586
892	13112	1571
893	13123	1556
894	13141	1541
895	13155	1526
896	13170	1512
897	13185	1497
898	13199	1482
899	13212	1468
900	13224	1453
901	13240	1438
902	13253	1423
903	13268	1408
904	13282	1394
905	13297	1379
906	13313	1365
907	13327	1350
908	13343	1335
909	13359	1321
910	13373	1306
911	13381	1291
912	13396	1276
913	13410	1261
914	13424	1247
915	13432	1231
916	13448	1217
917	13463	1202
918	13477	1187
919	13486	1172
920	13495	1157
921	13507	1142
922	13522	1128
923	13536	1113
924	13548	1098
925	13561	1083
926	13577	1069
927	13592	1054
928	13605	1039
929	13619	1025
930	13634	1010
931	13647	995
932	13662	981
933	13677	966
934	13689	951
935	13704	937
936	13717	922
937	13730	907
938	13739	892
939	13753	877
940	13769	863
941	13782	848
942	13795	833
943	13810	819
944	13822	804
945	13837	789
946	13850	775
947	13858	760
948	13873	745
949	13888	730
950	13901	716
951	13917	701
952	13931	687
953	13945	672
954	13959	657
955	13974	643
956	13990	628
957	14005	614
958	14022	599
959	14030	584
960	14045	569
961	14060	555
962	14078	540
963	14098	526
964	14112	511
965	14126	497
966	14142	482
967	14155	467
968	14170	453
969	14188	438
970	14201	424
971	14215	409
972	14230	394
973	14243	380
974	14260	365
975	14276	351
976	14287	336
977	14299	321
978	14313	307
979	14325	292
980	14333	277
981	14343	262
982	14357	248
983	14370	233
984	14378	218
985	14396	204
986	14408	189
987	14416	175
988	14429	160
989	14446	145
990	14460	131
991	14472	116
992	14485	102
993	14496	87
994	14509	72
995	14522	58
996	14534	43
997	14541	29
998	14558	14
999	14570	0
